Stat,Value,Sample
Status,../04.Alignment//HS_299_1/01_STAR/sorted_accepted_hits.bam,HS_299_pbmc
Assigned,16661582,HS_299_pbmc
Unassigned_Unmapped,19516,HS_299_pbmc
Unassigned_Read_Type,0,HS_299_pbmc
Unassigned_Singleton,0,HS_299_pbmc
Unassigned_MappingQuality,0,HS_299_pbmc
Unassigned_Chimera,0,HS_299_pbmc
Unassigned_FragmentLength,0,HS_299_pbmc
Unassigned_Duplicate,0,HS_299_pbmc
Unassigned_MultiMapping,1836890,HS_299_pbmc
Unassigned_Secondary,0,HS_299_pbmc
Unassigned_NonSplit,0,HS_299_pbmc
Unassigned_NoFeatures,2046089,HS_299_pbmc
Unassigned_Overlapping_Length,0,HS_299_pbmc
Unassigned_Ambiguity,1466281,HS_299_pbmc
Status,../04.Alignment//HS_644_1/01_STAR/sorted_accepted_hits.bam,HS_644_pbmc
Assigned,16620978,HS_644_pbmc
Unassigned_Unmapped,22735,HS_644_pbmc
Unassigned_Read_Type,0,HS_644_pbmc
Unassigned_Singleton,0,HS_644_pbmc
Unassigned_MappingQuality,0,HS_644_pbmc
Unassigned_Chimera,0,HS_644_pbmc
Unassigned_FragmentLength,0,HS_644_pbmc
Unassigned_Duplicate,0,HS_644_pbmc
Unassigned_MultiMapping,2014020,HS_644_pbmc
Unassigned_Secondary,0,HS_644_pbmc
Unassigned_NonSplit,0,HS_644_pbmc
Unassigned_NoFeatures,1937332,HS_644_pbmc
Unassigned_Overlapping_Length,0,HS_644_pbmc
Unassigned_Ambiguity,1433214,HS_644_pbmc
Status,../04.Alignment//HS_672_1/01_STAR/sorted_accepted_hits.bam,HS_672_pbmc
Assigned,16220056,HS_672_pbmc
Unassigned_Unmapped,20494,HS_672_pbmc
Unassigned_Read_Type,0,HS_672_pbmc
Unassigned_Singleton,0,HS_672_pbmc
Unassigned_MappingQuality,0,HS_672_pbmc
Unassigned_Chimera,0,HS_672_pbmc
Unassigned_FragmentLength,0,HS_672_pbmc
Unassigned_Duplicate,0,HS_672_pbmc
Unassigned_MultiMapping,1934489,HS_672_pbmc
Unassigned_Secondary,0,HS_672_pbmc
Unassigned_NonSplit,0,HS_672_pbmc
Unassigned_NoFeatures,2020916,HS_672_pbmc
Unassigned_Overlapping_Length,0,HS_672_pbmc
Unassigned_Ambiguity,1604941,HS_672_pbmc
Status,../04.Alignment//HS_678_1/01_STAR/sorted_accepted_hits.bam,HS_678_pbmc
Assigned,18253299,HS_678_pbmc
Unassigned_Unmapped,21843,HS_678_pbmc
Unassigned_Read_Type,0,HS_678_pbmc
Unassigned_Singleton,0,HS_678_pbmc
Unassigned_MappingQuality,0,HS_678_pbmc
Unassigned_Chimera,0,HS_678_pbmc
Unassigned_FragmentLength,0,HS_678_pbmc
Unassigned_Duplicate,0,HS_678_pbmc
Unassigned_MultiMapping,2517403,HS_678_pbmc
Unassigned_Secondary,0,HS_678_pbmc
Unassigned_NonSplit,0,HS_678_pbmc
Unassigned_NoFeatures,1617750,HS_678_pbmc
Unassigned_Overlapping_Length,0,HS_678_pbmc
Unassigned_Ambiguity,1964843,HS_678_pbmc
Status,../04.Alignment//HS_694_1/01_STAR/sorted_accepted_hits.bam,HS_694_pbmc
Assigned,16850168,HS_694_pbmc
Unassigned_Unmapped,21825,HS_694_pbmc
Unassigned_Read_Type,0,HS_694_pbmc
Unassigned_Singleton,0,HS_694_pbmc
Unassigned_MappingQuality,0,HS_694_pbmc
Unassigned_Chimera,0,HS_694_pbmc
Unassigned_FragmentLength,0,HS_694_pbmc
Unassigned_Duplicate,0,HS_694_pbmc
Unassigned_MultiMapping,1965102,HS_694_pbmc
Unassigned_Secondary,0,HS_694_pbmc
Unassigned_NonSplit,0,HS_694_pbmc
Unassigned_NoFeatures,1803261,HS_694_pbmc
Unassigned_Overlapping_Length,0,HS_694_pbmc
Unassigned_Ambiguity,1564730,HS_694_pbmc
Status,../04.Alignment//HS_696_1/01_STAR/sorted_accepted_hits.bam,HS_696_pbmc
Assigned,19716396,HS_696_pbmc
Unassigned_Unmapped,23201,HS_696_pbmc
Unassigned_Read_Type,0,HS_696_pbmc
Unassigned_Singleton,0,HS_696_pbmc
Unassigned_MappingQuality,0,HS_696_pbmc
Unassigned_Chimera,0,HS_696_pbmc
Unassigned_FragmentLength,0,HS_696_pbmc
Unassigned_Duplicate,0,HS_696_pbmc
Unassigned_MultiMapping,2079723,HS_696_pbmc
Unassigned_Secondary,0,HS_696_pbmc
Unassigned_NonSplit,0,HS_696_pbmc
Unassigned_NoFeatures,2767055,HS_696_pbmc
Unassigned_Overlapping_Length,0,HS_696_pbmc
Unassigned_Ambiguity,1628623,HS_696_pbmc
Status,../04.Alignment//HS_698_1/01_STAR/sorted_accepted_hits.bam,HS_698_pbmc
Assigned,18007289,HS_698_pbmc
Unassigned_Unmapped,18372,HS_698_pbmc
Unassigned_Read_Type,0,HS_698_pbmc
Unassigned_Singleton,0,HS_698_pbmc
Unassigned_MappingQuality,0,HS_698_pbmc
Unassigned_Chimera,0,HS_698_pbmc
Unassigned_FragmentLength,0,HS_698_pbmc
Unassigned_Duplicate,0,HS_698_pbmc
Unassigned_MultiMapping,1842819,HS_698_pbmc
Unassigned_Secondary,0,HS_698_pbmc
Unassigned_NonSplit,0,HS_698_pbmc
Unassigned_NoFeatures,3527364,HS_698_pbmc
Unassigned_Overlapping_Length,0,HS_698_pbmc
Unassigned_Ambiguity,1470999,HS_698_pbmc
Status,../04.Alignment//HS_701_1/01_STAR/sorted_accepted_hits.bam,HS_701_pbmc
Assigned,17368869,HS_701_pbmc
Unassigned_Unmapped,29270,HS_701_pbmc
Unassigned_Read_Type,0,HS_701_pbmc
Unassigned_Singleton,0,HS_701_pbmc
Unassigned_MappingQuality,0,HS_701_pbmc
Unassigned_Chimera,0,HS_701_pbmc
Unassigned_FragmentLength,0,HS_701_pbmc
Unassigned_Duplicate,0,HS_701_pbmc
Unassigned_MultiMapping,2082506,HS_701_pbmc
Unassigned_Secondary,0,HS_701_pbmc
Unassigned_NonSplit,0,HS_701_pbmc
Unassigned_NoFeatures,3182905,HS_701_pbmc
Unassigned_Overlapping_Length,0,HS_701_pbmc
Unassigned_Ambiguity,1586192,HS_701_pbmc
Status,../04.Alignment//HS_702_1/01_STAR/sorted_accepted_hits.bam,HS_702_pbmc
Assigned,16141721,HS_702_pbmc
Unassigned_Unmapped,22085,HS_702_pbmc
Unassigned_Read_Type,0,HS_702_pbmc
Unassigned_Singleton,0,HS_702_pbmc
Unassigned_MappingQuality,0,HS_702_pbmc
Unassigned_Chimera,0,HS_702_pbmc
Unassigned_FragmentLength,0,HS_702_pbmc
Unassigned_Duplicate,0,HS_702_pbmc
Unassigned_MultiMapping,1825262,HS_702_pbmc
Unassigned_Secondary,0,HS_702_pbmc
Unassigned_NonSplit,0,HS_702_pbmc
Unassigned_NoFeatures,2601927,HS_702_pbmc
Unassigned_Overlapping_Length,0,HS_702_pbmc
Unassigned_Ambiguity,1385850,HS_702_pbmc
Status,../04.Alignment//HS_703_1/01_STAR/sorted_accepted_hits.bam,HS_703_pbmc
Assigned,15811086,HS_703_pbmc
Unassigned_Unmapped,23095,HS_703_pbmc
Unassigned_Read_Type,0,HS_703_pbmc
Unassigned_Singleton,0,HS_703_pbmc
Unassigned_MappingQuality,0,HS_703_pbmc
Unassigned_Chimera,0,HS_703_pbmc
Unassigned_FragmentLength,0,HS_703_pbmc
Unassigned_Duplicate,0,HS_703_pbmc
Unassigned_MultiMapping,1745300,HS_703_pbmc
Unassigned_Secondary,0,HS_703_pbmc
Unassigned_NonSplit,0,HS_703_pbmc
Unassigned_NoFeatures,2477362,HS_703_pbmc
Unassigned_Overlapping_Length,0,HS_703_pbmc
Unassigned_Ambiguity,1377229,HS_703_pbmc
