Sample,Assigned,Unassigned_Ambiguity,Unassigned_MultiMapping,Unassigned_NoFeatures,Unassigned_Unmapped,pct_Uniquely_Mapped_Reads,sample_name,GlobinClear,Total Alignments,pct_Assigned,pct_Unassigned_Ambiguity,pct_Unassigned_MultiMapping,pct_Unassigned_NoFeatures,pct_Unassigned_Unmapped,pct_Unassigned_Ambiguity|Unassigned,pct_Unassigned_MultiMapping|Unassigned,pct_Unassigned_NoFeatures|Unassigned,pct_Unassigned_Unmapped|Unassigned
HS_299_pbmc,16661582,1466281,1836890,2046089,19516,96.74%,HS_299,TRUE,22030358,0.7563010097248534,0.066557293,0.083379943,0.092875885,0.000885868,0.27311271693957806,0.34214316261285627,0.38110902745802766,0.003635093
HS_644_pbmc,16620978,1433214,2014020,1937332,22735,96.49%,HS_644,TRUE,22028279,0.7545291214079866,0.065062459,0.09142884,0.087947497,0.001032082,0.26505164036549844,0.37246308278381396,0.35828077630596117,0.004204501
HS_672_pbmc,16220056,1604941,1934489,2020916,20494,96.51%,HS_672,TRUE,21800896,0.7440086866154492,0.073618121,0.08873438,0.092698759,0.000940053,0.287580543,0.3466304355616717,0.362116814,0.003672207
HS_678_pbmc,18253299,1964843,2517403,1617750,21843,95.93%,HS_678,TRUE,24375138,0.7488490526699787,0.080608487,0.10327748708540645,0.066368855,0.000896118,0.32095633354617786,0.4112167928624062,0.2642588281070443,0.003568045
HS_694_pbmc,16850168,1564730,1965102,1803261,21825,96.56%,HS_694,TRUE,22205086,0.7588427263916023,0.070467189,0.088497833,0.081209368,0.000982883,0.29220428772205287,0.3669714456878705,0.3367485739277427,0.004075693
HS_696_pbmc,19716396,1628623,2079723,2767055,23201,96.88%,HS_696,TRUE,26214998,0.7521036621860508,0.062125619845555584,0.079333327,0.10555236357446986,0.000885028,0.2506112853195195,0.3200262148689826,0.4257923473387045,0.003570152
HS_698_pbmc,18007289,1470999,1842819,3527364,18372,96.57%,HS_698,TRUE,24866843,0.7241485780885012,0.059155036,0.074107477,0.14185009331502194,0.000738815,0.21444528317730277,0.26864997345308456,0.5142264351297475,0.002678308
HS_701_pbmc,17368869,1586192,2082506,3182905,29270,96.61%,HS_701,TRUE,24249742,0.7162496409240148,0.065410675,0.08587745,0.13125521088018174,0.001207023,0.230521912,0.3026514222831899,0.4625728450445169,0.004253821
HS_702_pbmc,16141721,1385850,1825262,2601927,22085,96.80%,HS_702,TRUE,21976845,0.7344876391492955,0.063059552,0.083053869,0.11839401879569156,0.001004921,0.23750137957650944,0.31280603462754175,0.44590774763312657,0.003784838
HS_703_pbmc,15811086,1377229,1745300,2477362,23095,96.75%,HS_703,TRUE,21434072,0.7376613272550359,0.064254193,0.081426432,0.11558055790798874,0.00107749,0.2449284063662972,0.3103866877847464,0.4405776574937231,0.004107248
HS_299_PolyA_skin,14255241,1740751,19068863,2406968,20866,72.26%,HS_299,FALSE,37492689,0.3802138864993119,0.046429078,0.5086021704124769,0.064198329,0.000556535,0.074911453,0.8206091736063271,0.10358142598102855,0.000897947
HS_644_PolyA_skin,13612285,1662317,24148741,1604140,13842,65.22%,HS_644,FALSE,41041325,0.3316726494575894,0.040503493,0.5884006181574304,0.03908597,0.00033727,0.060604272,0.8804078086582687,0.058483272,0.000504648
HS_672_PolyA_skin,14857851,1937898,22922755,3053270,23927,69.80%,HS_672,FALSE,42795701,0.34718092361660347,0.045282539010168335,0.5356321888499969,0.07134525,0.000559098,0.069364608,0.8204910184570394,0.10928793733232872,0.000856437
HS_678_PolyA_skin,12499974,1760764,33086694,3287873,13661,56.29%,HS_678,FALSE,50648966,0.24679623272072326,0.034764066,0.6532550733612212,0.064914909,0.000269719,0.046154929,0.8673019197990867,0.086185056,0.000358096
HS_694_PolyA_skin,15426597,1565050,14193649,2687367,25302,78.60%,HS_694,FALSE,33897965,0.45508917718217007,0.046169438,0.41871684627676026,0.079278122,0.000746416,0.084728429,0.7684135251920703,0.14548824970624807,0.001369796
HS_696_PolyA_skin,15875036,1643786,16147952,3208565,27591,76.99%,HS_696,FALSE,36902930,0.43018361956625123,0.044543509146834685,0.43757912989564784,0.086946077,0.000747664,0.078171689,0.7679300647035789,0.15258613154508008,0.001312114
HS_698_PolyA_skin,15395967,1628249,18775695,3004960,23343,73.80%,HS_698,FALSE,38828214,0.396514941,0.041934686977876445,0.483558038,0.077391147,0.000601187,0.069487531,0.8012759083667904,0.1282403689240729,0.000996191
HS_701_PolyA_skin,13876479,1678639,21414830,3002180,23691,69.48%,HS_701,FALSE,39995819,0.3469482397647614,0.041970362,0.5354267154774353,0.075062346,0.000592337,0.064268048,0.8198840399489421,0.11494088288601473,0.000907029
HS_702_PolyA_skin,13724937,1534623,13591961,3347940,24893,78.11%,HS_702,FALSE,32224354,0.4259181425328185,0.04762308,0.42179157416157975,0.10389471267600896,0.00077249,0.082955209,0.734723748,0.18097543290148008,0.00134561
HS_703_PolyA_skin,12254633,1416480,15310973,2629599,20859,73.80%,HS_703,FALSE,31632544,0.38740586277221334,0.044779199548414444,0.48402597653859264,0.083129545,0.000659416,0.073097663,0.7901250552755661,0.13570085031353482,0.001076432
