Stat,Value,Sample
Status,../04.Alignment//HS_299_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_299_PolyA_skin
Assigned,14255241,HS_299_PolyA_skin
Unassigned_Unmapped,20866,HS_299_PolyA_skin
Unassigned_Read_Type,0,HS_299_PolyA_skin
Unassigned_Singleton,0,HS_299_PolyA_skin
Unassigned_MappingQuality,0,HS_299_PolyA_skin
Unassigned_Chimera,0,HS_299_PolyA_skin
Unassigned_FragmentLength,0,HS_299_PolyA_skin
Unassigned_Duplicate,0,HS_299_PolyA_skin
Unassigned_MultiMapping,19068863,HS_299_PolyA_skin
Unassigned_Secondary,0,HS_299_PolyA_skin
Unassigned_NonSplit,0,HS_299_PolyA_skin
Unassigned_NoFeatures,2406968,HS_299_PolyA_skin
Unassigned_Overlapping_Length,0,HS_299_PolyA_skin
Unassigned_Ambiguity,1740751,HS_299_PolyA_skin
Status,../04.Alignment//HS_698_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_698_PolyA_skin
Assigned,15395967,HS_698_PolyA_skin
Unassigned_Unmapped,23343,HS_698_PolyA_skin
Unassigned_Read_Type,0,HS_698_PolyA_skin
Unassigned_Singleton,0,HS_698_PolyA_skin
Unassigned_MappingQuality,0,HS_698_PolyA_skin
Unassigned_Chimera,0,HS_698_PolyA_skin
Unassigned_FragmentLength,0,HS_698_PolyA_skin
Unassigned_Duplicate,0,HS_698_PolyA_skin
Unassigned_MultiMapping,18775695,HS_698_PolyA_skin
Unassigned_Secondary,0,HS_698_PolyA_skin
Unassigned_NonSplit,0,HS_698_PolyA_skin
Unassigned_NoFeatures,3004960,HS_698_PolyA_skin
Unassigned_Overlapping_Length,0,HS_698_PolyA_skin
Unassigned_Ambiguity,1628249,HS_698_PolyA_skin
Status,../04.Alignment//HS_644_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_644_PolyA_skin
Assigned,13612285,HS_644_PolyA_skin
Unassigned_Unmapped,13842,HS_644_PolyA_skin
Unassigned_Read_Type,0,HS_644_PolyA_skin
Unassigned_Singleton,0,HS_644_PolyA_skin
Unassigned_MappingQuality,0,HS_644_PolyA_skin
Unassigned_Chimera,0,HS_644_PolyA_skin
Unassigned_FragmentLength,0,HS_644_PolyA_skin
Unassigned_Duplicate,0,HS_644_PolyA_skin
Unassigned_MultiMapping,24148741,HS_644_PolyA_skin
Unassigned_Secondary,0,HS_644_PolyA_skin
Unassigned_NonSplit,0,HS_644_PolyA_skin
Unassigned_NoFeatures,1604140,HS_644_PolyA_skin
Unassigned_Overlapping_Length,0,HS_644_PolyA_skin
Unassigned_Ambiguity,1662317,HS_644_PolyA_skin
Status,../04.Alignment//HS_672_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_672_PolyA_skin
Assigned,14857851,HS_672_PolyA_skin
Unassigned_Unmapped,23927,HS_672_PolyA_skin
Unassigned_Read_Type,0,HS_672_PolyA_skin
Unassigned_Singleton,0,HS_672_PolyA_skin
Unassigned_MappingQuality,0,HS_672_PolyA_skin
Unassigned_Chimera,0,HS_672_PolyA_skin
Unassigned_FragmentLength,0,HS_672_PolyA_skin
Unassigned_Duplicate,0,HS_672_PolyA_skin
Unassigned_MultiMapping,22922755,HS_672_PolyA_skin
Unassigned_Secondary,0,HS_672_PolyA_skin
Unassigned_NonSplit,0,HS_672_PolyA_skin
Unassigned_NoFeatures,3053270,HS_672_PolyA_skin
Unassigned_Overlapping_Length,0,HS_672_PolyA_skin
Unassigned_Ambiguity,1937898,HS_672_PolyA_skin
Status,../04.Alignment//HS_678_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_678_PolyA_skin
Assigned,12499974,HS_678_PolyA_skin
Unassigned_Unmapped,13661,HS_678_PolyA_skin
Unassigned_Read_Type,0,HS_678_PolyA_skin
Unassigned_Singleton,0,HS_678_PolyA_skin
Unassigned_MappingQuality,0,HS_678_PolyA_skin
Unassigned_Chimera,0,HS_678_PolyA_skin
Unassigned_FragmentLength,0,HS_678_PolyA_skin
Unassigned_Duplicate,0,HS_678_PolyA_skin
Unassigned_MultiMapping,33086694,HS_678_PolyA_skin
Unassigned_Secondary,0,HS_678_PolyA_skin
Unassigned_NonSplit,0,HS_678_PolyA_skin
Unassigned_NoFeatures,3287873,HS_678_PolyA_skin
Unassigned_Overlapping_Length,0,HS_678_PolyA_skin
Unassigned_Ambiguity,1760764,HS_678_PolyA_skin
Status,../04.Alignment//HS_694_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_694_PolyA_skin
Assigned,15426597,HS_694_PolyA_skin
Unassigned_Unmapped,25302,HS_694_PolyA_skin
Unassigned_Read_Type,0,HS_694_PolyA_skin
Unassigned_Singleton,0,HS_694_PolyA_skin
Unassigned_MappingQuality,0,HS_694_PolyA_skin
Unassigned_Chimera,0,HS_694_PolyA_skin
Unassigned_FragmentLength,0,HS_694_PolyA_skin
Unassigned_Duplicate,0,HS_694_PolyA_skin
Unassigned_MultiMapping,14193649,HS_694_PolyA_skin
Unassigned_Secondary,0,HS_694_PolyA_skin
Unassigned_NonSplit,0,HS_694_PolyA_skin
Unassigned_NoFeatures,2687367,HS_694_PolyA_skin
Unassigned_Overlapping_Length,0,HS_694_PolyA_skin
Unassigned_Ambiguity,1565050,HS_694_PolyA_skin
Status,../04.Alignment//HS_696_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_696_PolyA_skin
Assigned,15875036,HS_696_PolyA_skin
Unassigned_Unmapped,27591,HS_696_PolyA_skin
Unassigned_Read_Type,0,HS_696_PolyA_skin
Unassigned_Singleton,0,HS_696_PolyA_skin
Unassigned_MappingQuality,0,HS_696_PolyA_skin
Unassigned_Chimera,0,HS_696_PolyA_skin
Unassigned_FragmentLength,0,HS_696_PolyA_skin
Unassigned_Duplicate,0,HS_696_PolyA_skin
Unassigned_MultiMapping,16147952,HS_696_PolyA_skin
Unassigned_Secondary,0,HS_696_PolyA_skin
Unassigned_NonSplit,0,HS_696_PolyA_skin
Unassigned_NoFeatures,3208565,HS_696_PolyA_skin
Unassigned_Overlapping_Length,0,HS_696_PolyA_skin
Unassigned_Ambiguity,1643786,HS_696_PolyA_skin
Status,../04.Alignment//HS_701_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_701_PolyA_skin
Assigned,13876479,HS_701_PolyA_skin
Unassigned_Unmapped,23691,HS_701_PolyA_skin
Unassigned_Read_Type,0,HS_701_PolyA_skin
Unassigned_Singleton,0,HS_701_PolyA_skin
Unassigned_MappingQuality,0,HS_701_PolyA_skin
Unassigned_Chimera,0,HS_701_PolyA_skin
Unassigned_FragmentLength,0,HS_701_PolyA_skin
Unassigned_Duplicate,0,HS_701_PolyA_skin
Unassigned_MultiMapping,21414830,HS_701_PolyA_skin
Unassigned_Secondary,0,HS_701_PolyA_skin
Unassigned_NonSplit,0,HS_701_PolyA_skin
Unassigned_NoFeatures,3002180,HS_701_PolyA_skin
Unassigned_Overlapping_Length,0,HS_701_PolyA_skin
Unassigned_Ambiguity,1678639,HS_701_PolyA_skin
Status,../04.Alignment//HS_702_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_702_PolyA_skin
Assigned,13724937,HS_702_PolyA_skin
Unassigned_Unmapped,24893,HS_702_PolyA_skin
Unassigned_Read_Type,0,HS_702_PolyA_skin
Unassigned_Singleton,0,HS_702_PolyA_skin
Unassigned_MappingQuality,0,HS_702_PolyA_skin
Unassigned_Chimera,0,HS_702_PolyA_skin
Unassigned_FragmentLength,0,HS_702_PolyA_skin
Unassigned_Duplicate,0,HS_702_PolyA_skin
Unassigned_MultiMapping,13591961,HS_702_PolyA_skin
Unassigned_Secondary,0,HS_702_PolyA_skin
Unassigned_NonSplit,0,HS_702_PolyA_skin
Unassigned_NoFeatures,3347940,HS_702_PolyA_skin
Unassigned_Overlapping_Length,0,HS_702_PolyA_skin
Unassigned_Ambiguity,1534623,HS_702_PolyA_skin
Status,../04.Alignment//HS_703_PolyA_1/01_STAR/sorted_accepted_hits.bam,HS_703_PolyA_skin
Assigned,12254633,HS_703_PolyA_skin
Unassigned_Unmapped,20859,HS_703_PolyA_skin
Unassigned_Read_Type,0,HS_703_PolyA_skin
Unassigned_Singleton,0,HS_703_PolyA_skin
Unassigned_MappingQuality,0,HS_703_PolyA_skin
Unassigned_Chimera,0,HS_703_PolyA_skin
Unassigned_FragmentLength,0,HS_703_PolyA_skin
Unassigned_Duplicate,0,HS_703_PolyA_skin
Unassigned_MultiMapping,15310973,HS_703_PolyA_skin
Unassigned_Secondary,0,HS_703_PolyA_skin
Unassigned_NonSplit,0,HS_703_PolyA_skin
Unassigned_NoFeatures,2629599,HS_703_PolyA_skin
Unassigned_Overlapping_Length,0,HS_703_PolyA_skin
Unassigned_Ambiguity,1416480,HS_703_PolyA_skin
