Sample,Assigned,Unassigned_Ambiguity,Unassigned_MultiMapping,Unassigned_NoFeatures,Unassigned_Unmapped,sample_name,GlobinClear,Total Alignments,pct_Assigned,pct_Unassigned_Ambiguity,pct_Unassigned_MultiMapping,pct_Unassigned_NoFeatures,pct_Unassigned_Unmapped,pct_Unassigned_Ambiguity|Unassigned,pct_Unassigned_MultiMapping|Unassigned,pct_Unassigned_NoFeatures|Unassigned,pct_Unassigned_Unmapped|Unassigned
HS_299_pbmc,16661582,1466281,1836890,2046089,19516,HS_299,True,22030358,0.7563010097248534,0.06655729334947712,0.0833799432582984,0.0928758851762645,0.0008858684911066811,0.27311271693957806,0.34214316261285627,0.38110902745802766,0.0036350929895380252
HS_644_pbmc,16620978,1433214,2014020,1937332,22735,HS_644,True,22028279,0.7545291214079866,0.06506245903277329,0.09142884017403266,0.08794749694245292,0.0010320824427546066,0.26505164036549844,0.37246308278381396,0.35828077630596117,0.004204500544726472
HS_672_pbmc,16220056,1604941,1934489,2020916,20494,HS_672,True,21800896,0.7440086866154492,0.07361812101667747,0.08873438045849125,0.0926987588033079,0.0009400531060741724,0.287580543430738,0.3466304355616717,0.362116813956322,0.0036722070512682677
HS_678_pbmc,18253299,1964843,2517403,1617750,21843,HS_678,True,24375138,0.7488490526699787,0.08060848722169285,0.10327748708540645,0.06636885501940543,0.000896118003516534,0.32095633354617786,0.4112167928624062,0.2642588281070443,0.003568045484371608
HS_694_pbmc,16850168,1564730,1965102,1803261,21825,HS_694,True,22205086,0.7588427263916023,0.07046718936373406,0.08849783333421901,0.08120936797993036,0.0009828829305142074,0.29220428772205287,0.3669714456878705,0.3367485739277427,0.004075692662333952
HS_696_pbmc,19716396,1628623,2079723,2767055,23201,HS_696,True,26214998,0.7521036621860508,0.062125619845555584,0.07933332667048076,0.10555236357446986,0.0008850277234428933,0.2506112853195195,0.3200262148689826,0.4257923473387045,0.003570152472793379
HS_698_pbmc,18007289,1470999,1842819,3527364,18372,HS_698,True,24866843,0.7241485780885012,0.05915503628667298,0.07410747717351977,0.14185009331502194,0.0007388151362840872,0.21444528317730277,0.26864997345308456,0.5142264351297475,0.0026783082398651576
HS_701_pbmc,17368869,1586192,2082506,3182905,29270,HS_701,True,24249742,0.7162496409240148,0.06541067529708151,0.08587744974771278,0.13125521088018174,0.0012070231510091943,0.230521911972507,0.3026514222831899,0.4625728450445169,0.004253820699786205
HS_702_pbmc,16141721,1385850,1825262,2601927,22085,HS_702,True,21976845,0.7344876391492955,0.0630595519966583,0.08305386874230582,0.11839401879569156,0.0010049213160487776,0.23750137957650944,0.31280603462754175,0.44590774763312657,0.003784838162822247
HS_703_pbmc,15811086,1377229,1745300,2477362,23095,HS_703,True,21434072,0.7376613272550359,0.06425419304367365,0.08142643171115596,0.11558055790798874,0.001077490082145847,0.2449284063662972,0.3103866877847464,0.4405776574937231,0.004107248355233323
HS_299_PolyA_skin,14255241,1740751,19068863,2406968,20866,HS_299,False,37492689,0.3802138864993119,0.04642907847980709,0.5086021704124769,0.06419832943964089,0.0005565351687631687,0.07491145327146079,0.8206091736063271,0.10358142598102855,0.0008979471411834897
HS_644_PolyA_skin,13612285,1662317,24148741,1604140,13842,HS_644,False,41041325,0.3316726494575894,0.0405034925163844,0.5884006181574304,0.03908597005579133,0.000337269812804533,0.0606042719686872,0.8804078086582687,0.0584832717441077,0.000504647628936339
HS_672_PolyA_skin,14857851,1937898,22922755,3053270,23927,HS_672,False,42795701,0.34718092361660347,0.045282539010168335,0.5356321888499969,0.07134525030913735,0.0005590982140939811,0.06936460751274705,0.8204910184570394,0.10928793733232872,0.0008564366978847692
HS_678_PolyA_skin,12499974,1760764,33086694,3287873,13661,HS_678,False,50648966,0.24679623272072326,0.03476406606207914,0.6532550733612212,0.06491490862814456,0.00026971922783181794,0.04615492854961935,0.8673019197990867,0.08618505568902056,0.00035809596227339373
HS_694_PolyA_skin,15426597,1565050,14193649,2687367,25302,HS_694,False,33897965,0.45508917718217007,0.04616943819488869,0.41871684627676026,0.07927812185775754,0.0007464164884234202,0.08472842942655899,0.7684135251920703,0.14548824970624807,0.0013697956751227089
HS_696_PolyA_skin,15875036,1643786,16147952,3208565,27591,HS_696,False,36902930,0.43018361956625123,0.044543509146834685,0.43757912989564784,0.08694607718140537,0.000747664209860843,0.07817168947113771,0.7679300647035789,0.15258613154508008,0.0013121142802032385
HS_698_PolyA_skin,15395967,1628249,18775695,3004960,23343,HS_698,False,38828214,0.396514941428931,0.041934686977876445,0.483558038492319,0.07739114655131961,0.0006011865495538888,0.06948753143477875,0.8012759083667904,0.1282403689240729,0.0009961912743579394
HS_701_PolyA_skin,13876479,1678639,21414830,3002180,23691,HS_701,False,39995819,0.3469482397647614,0.04197036195208304,0.5354267154774353,0.07506234589170432,0.0005923369140159375,0.06426804812066461,0.8198840399489421,0.11494088288601473,0.0009070290443786099
HS_702_PolyA_skin,13724937,1534623,13591961,3347940,24893,HS_702,False,32224354,0.4259181425328185,0.04762308035717334,0.42179157416157975,0.10389471267600896,0.0007724902724194254,0.08295520880468828,0.734723748321366,0.18097543290148008,0.0013456099724656189
HS_703_PolyA_skin,12254633,1416480,15310973,2629599,20859,HS_703,False,31632544,0.38740586277221334,0.044779199548414444,0.48402597653859264,0.0831295453188969,0.0006594158218826788,0.07309766259118436,0.7901250552755661,0.13570085031353482,0.0010764318197147257
