HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000290825.1,59,6,2,11,6,2,12,8,7,15
ENSG00000223972.6,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.6,389,542,335,921,484,395,212,407,265,293
ENSG00000278267.1,9,10,16,17,14,6,0,15,11,20
ENSG00000243485.5,0,0,0,0,0,0,6,2,0,1
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,1,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,1,0,0,0,0
ENSG00000238009.7,13,14,5,5,16,14,51,28,13,7
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,61,187,97,109,105,74,103,262,132,100
ENSG00000268903.1,989,1849,863,3229,1631,752,159,1813,1068,1024
ENSG00000269981.1,794,1675,650,1271,1136,836,108,1805,1061,1016
ENSG00000239906.1,3,45,1,2,58,21,21,19,14,6
ENSG00000241860.7,83,210,18,12,198,231,126,276,135,128
ENSG00000222623.1,0,5,1,0,0,6,5,2,3,1
ENSG00000241599.1,0,6,0,0,0,0,0,0,0,0
ENSG00000279928.2,138,1,24,29,2,5,18,68,21,13
ENSG00000279457.4,205,114,388,188,264,114,62,360,231,308
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0
ENSG00000292994.1,84,51,124,35,118,38,21,119,24,71
ENSG00000228463.11,0,0,0,0,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,1,1,0,0,0,0,2,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,277,431,139,52,440,411,269,693,506,527
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,1,0,0,0,0
ENSG00000250575.1,3,18,10,12,20,21,0,24,11,10
ENSG00000278757.1,2,4,0,0,2,0,1,21,0,0
ENSG00000293331.1,18,17,10,4,7,36,45,37,23,23
ENSG00000235146.2,0,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,34,19,35,3855,34,11,1867,37,32,42
ENSG00000225630.1,183,55,72,72,141,148,225,155,175,154
ENSG00000237973.1,462,219,378,338,514,502,5591,417,475,454
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,46,27,23,24,44,20,75,39,36,39
ENSG00000240409.1,2,0,1,0,0,3,3,2,1,1
ENSG00000248527.1,2133,868,1548,1473,2089,1692,4517,1723,1846,2137
ENSG00000198744.5,52,18,24,10,63,31,121,36,41,44
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,5,0,1,0,5,5,0,2,1,4
ENSG00000291215.1,197,203,164,69,304,285,86,496,244,381
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,1,11,0,0,2,6,0,0,1,0
ENSG00000228327.6,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,48,38,46,14,25,59,104,64,60,47
ENSG00000285268.1,0,0,0,0,0,0,0,0,0,0
ENSG00000290784.1,9,4,2,4,1,6,17,4,9,10
ENSG00000230092.8,0,0,0,0,0,0,0,0,0,0
ENSG00000177757.2,4,5,1,0,5,9,5,6,9,7
ENSG00000225880.6,14,33,18,15,12,35,29,32,32,18
ENSG00000228794.12,188,200,188,199,157,192,346,233,350,214
ENSG00000288531.1,5,1,2,4,0,5,3,3,3,0
ENSG00000230368.2,1,0,0,3,0,0,0,3,0,0
ENSG00000234711.1,0,0,1,0,2,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,0,1,0,0,1,0,0,2,1,0
ENSG00000223764.2,0,0,2,2,4,0,0,1,0,1
ENSG00000187634.13,0,0,3,1,0,0,0,4,0,0
ENSG00000188976.11,779,547,944,578,786,562,488,834,852,807
ENSG00000187961.15,317,211,335,228,274,237,51,366,300,390
ENSG00000187583.11,18,12,16,25,43,16,12,17,12,21
ENSG00000187642.10,0,0,0,0,1,0,0,0,2,0
