,symbol
ENSG00000259013,ENSG00000259013
ENSG00000223523,ENSG00000223523
ENSG00000260021,ENSG00000260021
ENSG00000200142,Y_RNA
ENSG00000198765,SYCP1
ENSG00000271071,ENSG00000271071
ENSG00000287658,ENSG00000287658
ENSG00000197901,SLC22A6
ENSG00000271201,ENSG00000271201
ENSG00000235523,ENSG00000235523
ENSG00000253855,ENSG00000253855
ENSG00000289712,ENSG00000289712
ENSG00000285736,ENSG00000285736
ENSG00000286593,ENSG00000286593
ENSG00000280429,ENSG00000280429
ENSG00000234756,LINC02621
ENSG00000238153,ENSG00000238153
ENSG00000278626,ENSG00000278626
ENSG00000229696,KARS1P1
ENSG00000279807,ENSG00000279807
ENSG00000139910,NOVA1
ENSG00000224584,UBE2V1P13
ENSG00000228730,LINC02013
ENSG00000285609,5S_rRNA
ENSG00000003989,SLC7A2
ENSG00000260612,ENSG00000260612
ENSG00000242657,RN7SL581P
ENSG00000232665,PHB1P10
ENSG00000223843,EFCAB6-AS1
ENSG00000250658,ENSG00000250658
ENSG00000204961,PCDHA9
ENSG00000279925,ENSG00000279925
ENSG00000120075,HOXB5
ENSG00000281477,LINC01955
ENSG00000293253,ENSG00000293253
ENSG00000249022,ENSG00000249022
ENSG00000207330,RNU6-73P
ENSG00000214259,ENSG00000214259
ENSG00000254115,ENSG00000254115
ENSG00000215002,RPL23AP59
ENSG00000207256,RNU6-880P
ENSG00000271231,KRT18P9
ENSG00000227444,ENSG00000227444
ENSG00000234602,MCIDAS
ENSG00000229182,MRPS16P1
ENSG00000265879,MIR4748
ENSG00000252611,RNU6-1121P
ENSG00000227960,ENSG00000227960
ENSG00000185565,LSAMP
ENSG00000270321,ENSG00000270321
ENSG00000229875,EIF1P1
ENSG00000207821,MIR640
ENSG00000252057,RNU7-174P
ENSG00000236348,PSMC1P10
ENSG00000252594,RNU6-656P
ENSG00000254621,SETP16
ENSG00000243064,ABCC13
ENSG00000212424,RNU1-119P
ENSG00000238225,CRIP1P2
ENSG00000293321,ENSG00000293321
ENSG00000256748,ENSG00000256748
ENSG00000236776,RPL21P23
ENSG00000226446,NOTCH2P1
ENSG00000241230,RN7SL801P
ENSG00000250107,CACNA1G-AS1
ENSG00000258077,ENSG00000258077
ENSG00000285908,ENSG00000285908
ENSG00000275586,Metazoa_SRP
ENSG00000225557,MTCO3P20
ENSG00000181260,MTHFD2P7
ENSG00000237026,ENSG00000237026
ENSG00000288718,ENSG00000288718
ENSG00000232184,ENSG00000232184
ENSG00000233304,LINC01346
ENSG00000249446,TRAJ60
ENSG00000164188,RANBP3L
ENSG00000236827,LINC00529
ENSG00000279757,ENSG00000279757
ENSG00000237306,HSPE1P22
ENSG00000258336,DUX4L52
ENSG00000258765,ENSG00000258765
ENSG00000268601,ENSG00000268601
ENSG00000204684,ENSG00000204684
ENSG00000253695,PINX1-DT
ENSG00000279426,ENSG00000279426
ENSG00000239412,RPL21P71
ENSG00000265514,LINC01892
ENSG00000270421,ENSG00000270421
ENSG00000271137,AKTIPP1
ENSG00000244372,RN7SL423P
ENSG00000226016,RPL36AP55
ENSG00000227695,DNMBP-AS1
ENSG00000229863,RPL19P2
ENSG00000277127,Metazoa_SRP
ENSG00000271142,YWHAQP7
ENSG00000260969,WWOX-AS1
ENSG00000250258,ENSG00000250258
ENSG00000270090,ENSG00000270090
ENSG00000233260,RPSAP63
ENSG00000277027,RMRP
ENSG00000226375,ENSG00000226375
ENSG00000232111,ENSG00000232111
ENSG00000279590,ENSG00000279590
ENSG00000250433,CLSTN2-AS1
ENSG00000189398,OR7E12P
ENSG00000223751,ENSG00000223751
ENSG00000205396,LINC00661
ENSG00000215454,KRTAP10-4
ENSG00000203498,ENSG00000203498
ENSG00000253693,ENSG00000253693
ENSG00000205409,OR52E6
ENSG00000236678,LINC00347
ENSG00000206903,SNORA24B
ENSG00000219930,GAPDHP67
ENSG00000254251,ENSG00000254251
ENSG00000170743,SYT9
ENSG00000284745,ENSG00000284745
ENSG00000267583,ZNF24TR
ENSG00000286496,ENSG00000286496
ENSG00000232347,ENSG00000232347
ENSG00000113327,GABRG2
ENSG00000277991,ENSG00000277991
ENSG00000286508,ENSG00000286508
ENSG00000226008,SEPTIN14P3
ENSG00000235039,MTND6P12
ENSG00000268964,ERVV-2
ENSG00000261743,ENSG00000261743
ENSG00000222363,RNU4-34P
ENSG00000236554,ASNSP3
ENSG00000226477,ENSG00000226477
ENSG00000265971,ENSG00000265971
ENSG00000239129,ENSG00000239129
ENSG00000249375,CASC11
ENSG00000253441,IGHV3-25
ENSG00000212459,RNU6-695P
ENSG00000252450,Y_RNA
ENSG00000283327,MIR6841
ENSG00000260550,ENSG00000260550
ENSG00000227682,ATP5F1AP2
ENSG00000121335,PRB2
ENSG00000290897,ENSG00000290897
ENSG00000185847,LINC01405
ENSG00000237164,SLC25A15P2
ENSG00000289694,ENSG00000289694
ENSG00000249848,ENSG00000249848
ENSG00000266106,ENSG00000266106
ENSG00000222145,SNORA73
ENSG00000207134,RNU6-106P
ENSG00000215409,ENSG00000215409
ENSG00000272085,ENSG00000272085
ENSG00000268105,ENSG00000268105
ENSG00000261697,ENSG00000261697
ENSG00000254897,ENSG00000254897
ENSG00000250013,ZP3P1
ENSG00000226241,ENSG00000226241
ENSG00000231173,ENSG00000231173
ENSG00000013588,GPRC5A
ENSG00000206784,Y_RNA
ENSG00000170276,HSPB2
ENSG00000293407,PRSS59P
ENSG00000289599,ENSG00000289599
ENSG00000256879,PDE3A-AS1
ENSG00000223492,ENSG00000223492
ENSG00000248216,KCTD9P5
ENSG00000286359,ENSG00000286359
ENSG00000214374,RPLP2P1
ENSG00000207583,MIR606
ENSG00000286090,ENSG00000286090
ENSG00000206937,SNORA70B
ENSG00000286534,ENSG00000286534
ENSG00000251345,CDRT15P11
ENSG00000249261,ENSG00000249261
ENSG00000213711,PHB1P7
ENSG00000278200,LINC01971
ENSG00000280339,ENSG00000280339
ENSG00000214211,CTAGE14P
ENSG00000252417,RNU7-179P
ENSG00000163209,SPRR3
ENSG00000213778,HNRNPA1P32
ENSG00000237783,ENSG00000237783
ENSG00000264243,ENSG00000264243
ENSG00000229115,ENSG00000229115
ENSG00000252719,ENSG00000252719
ENSG00000260247,SUB1P4
ENSG00000270981,PCBP2P4
ENSG00000118194,TNNT2
ENSG00000267643,ENSG00000267643
ENSG00000198261,OR5BB1P
ENSG00000250899,ENSG00000250899
ENSG00000287106,ENSG00000287106
ENSG00000288949,ENSG00000288949
ENSG00000186479,RGS7BP
ENSG00000252258,SNORA70
ENSG00000201533,RN7SKP237
ENSG00000203661,OR2T5
ENSG00000229227,ENSG00000229227
ENSG00000254252,RPL7P20
ENSG00000226020,CDK2AP2P3
ENSG00000206985,RNU6-198P
ENSG00000241859,ANOS2P
ENSG00000285717,ENSG00000285717
ENSG00000261219,ENSG00000261219
ENSG00000261053,NAMPTP3
ENSG00000263831,MIR378E
ENSG00000221040,U3
ENSG00000147588,PMP2
ENSG00000256400,ENSG00000256400
ENSG00000249064,KRT18P25
ENSG00000264271,RN7SL488P
ENSG00000232105,RPL32P28
ENSG00000260657,ENSG00000260657
ENSG00000146385,TAAR8
ENSG00000261028,ENSG00000261028
ENSG00000223409,RPL17P17
ENSG00000239808,RN7SL255P
ENSG00000254780,ENSG00000254780
ENSG00000252532,RNU7-193P
ENSG00000256995,LINC02955
ENSG00000253698,ENSG00000253698
ENSG00000201264,SNORD73B
ENSG00000242816,ENSG00000242816
ENSG00000115226,FNDC4
ENSG00000279484,KLHL30-AS1
ENSG00000258337,ENSG00000258337
ENSG00000284829,ENSG00000284829
