"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANAPC1P2",61.858358969022,-0.574030378144854,0.297390319741688,-1.93022549840713,0.053578903487308,0.189580453959689
"ABCC13",41.4928283066596,-0.451801418800307,0.242030565548109,-1.86671223850238,0.0619417837425029,0.207848417148461
"CCDC144BP",16.9012030934401,-2.1397131883531,0.470100389725591,-4.55160905014798,5.32371918237465e-06,0.000126105984581337
"HERC2P3",11.5516387756792,-0.750459612522364,0.397511072160934,-1.88789612435886,0.059039896955258,0.201871793053522
"ABCA17P",4.75569562338255,-0.564847454773762,0.624036996013928,-0.905150589439021,0.36538561418483,0.618477848891992
"ALOX12P2",3.78512645385461,-0.576490336753681,0.596276654875882,-0.966816882800284,0.33363558309515,0.58847165244535
"U6",3.09513958405854,-1.29219134583871,0.968891672609821,-1.33367989669892,0.182308785947854,0.415999465600376
"U6.1",3.09513958405854,-1.29219134583871,0.968891672609821,-1.33367989669892,0.182308785947854,0.415999465600376
"U6.2",3.09513958405854,-1.29219134583871,0.968891672609821,-1.33367989669892,0.182308785947854,0.415999465600376
"U6.3",3.09513958405854,-1.29219134583871,0.968891672609821,-1.33367989669892,0.182308785947854,0.415999465600376
"U6.4",3.09513958405854,-1.29219134583871,0.968891672609821,-1.33367989669892,0.182308785947854,0.415999465600376
"TDH",2.00253151295824,-0.636770823711398,0.971864363644411,-0.655205445874731,0.512335488531799,NA
"Y_RNA",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.1",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.2",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.3",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.4",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.5",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.6",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.7",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.8",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.9",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.10",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.11",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.12",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.13",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.14",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.15",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.16",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.17",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.18",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.19",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.20",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.21",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.22",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.23",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.24",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.25",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.26",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.27",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.28",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.29",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.30",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.31",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.32",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.33",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.34",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.35",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.36",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.37",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.38",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.39",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.40",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.41",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.42",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.43",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.44",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.45",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.46",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.47",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.48",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.49",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.50",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.51",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.52",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.53",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.54",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.55",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.56",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.57",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.58",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.59",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
