,symbol
ENSG00000289385,ENSG00000289385
ENSG00000260990,ENSG00000260990
ENSG00000278013,ENSG00000278013
ENSG00000139515,PDX1
ENSG00000229950,TFAP2A-AS1
ENSG00000232366,VDAC1P9
ENSG00000130540,SULT4A1
ENSG00000238845,Y_RNA
ENSG00000227708,LINC01850
ENSG00000271715,ENSG00000271715
ENSG00000224476,RPL36P16
ENSG00000228237,EFCAB14-AS1
ENSG00000237106,FABP5P15
ENSG00000112837,TBX18
ENSG00000289752,ENSG00000289752
ENSG00000226523,ENSG00000226523
ENSG00000249487,LINC01586
ENSG00000171478,SPACA5B
ENSG00000249906,NGFR-AS1
ENSG00000200883,Y_RNA
ENSG00000275924,MIR6807
ENSG00000246774,COL25A1-DT
ENSG00000277581,ENSG00000277581
ENSG00000165953,SERPINA12
ENSG00000176988,FMR1NB
ENSG00000291257,ENSG00000291257
ENSG00000290777,ENSG00000290777
ENSG00000230834,ENSG00000230834
ENSG00000244104,RN7SL659P
ENSG00000232894,MRPS31P2
ENSG00000249912,TRBV26
ENSG00000168367,LINC00917
ENSG00000233081,ENSG00000233081
ENSG00000238173,RPL39P6
ENSG00000213107,AHCYP5
ENSG00000259993,ENSG00000259993
ENSG00000108018,SORCS1
ENSG00000252812,RN7SKP2
ENSG00000184029,DSCR4
ENSG00000287663,ENSG00000287663
ENSG00000221331,MIR548Q
ENSG00000286655,ENSG00000286655
ENSG00000269911,FAM226B
ENSG00000199598,RNU6-859P
ENSG00000263403,MIR4673
ENSG00000251533,LINC00605
ENSG00000266420,RN7SL118P
ENSG00000263526,MIR378G
ENSG00000179751,SYCN
ENSG00000234380,LINC01426
ENSG00000234122,TRBV22OR9-2
ENSG00000270068,ENSG00000270068
ENSG00000271433,PPATP2
ENSG00000289052,ENSG00000289052
ENSG00000275140,SEC22B3P
ENSG00000290913,ENSG00000290913
ENSG00000286900,ENSG00000286900
ENSG00000232337,ENSG00000232337
ENSG00000178503,NECAP1P1
ENSG00000177233,OR2M1P
ENSG00000280227,ENSG00000280227
ENSG00000169218,RSPO1
ENSG00000249798,HSD3BP3
ENSG00000251376,ENSG00000251376
ENSG00000252174,RNU7-18P
ENSG00000162891,IL20
ENSG00000203506,RBMS3-AS2
ENSG00000249761,ENSG00000249761
ENSG00000287551,ENSG00000287551
ENSG00000287795,ENSG00000287795
ENSG00000248651,GCSHP1
ENSG00000249448,MTCO1P24
ENSG00000213908,CYP2A7P1
