HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000290825.1,23,0,5,0,10,0,5,9,3,9
ENSG00000223972.6,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.6,159,153,143,139,276,253,259,239,198,171
ENSG00000278267.1,3,1,5,6,5,2,6,6,3,3
ENSG00000243485.5,0,0,0,0,0,0,0,0,1,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.7,12,1,4,6,26,25,10,6,9,0
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,41,32,67,26,100,86,34,126,89,63
ENSG00000268903.1,673,642,412,478,1137,528,410,894,909,597
ENSG00000269981.1,551,489,373,396,994,613,342,1047,802,633
ENSG00000239906.1,6,14,4,2,67,7,38,18,16,15
ENSG00000241860.7,100,62,75,37,255,246,223,169,149,118
ENSG00000222623.1,1,2,5,0,3,12,0,1,3,0
ENSG00000241599.1,1,0,0,0,2,0,2,0,0,0
ENSG00000279928.2,84,0,8,21,4,3,4,16,13,10
ENSG00000279457.4,79,28,155,62,122,93,58,216,147,172
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0
ENSG00000292994.1,71,10,78,10,88,31,11,91,20,34
ENSG00000228463.11,0,0,0,0,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,1,0,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,335,143,261,152,586,403,255,575,544,480
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0,0
